edge_u,edge_v,edge_k,road_type,matched_segment_id,match_dist_m
27477597,28358933,0,secondary,1028,77.4
27477597,258957342,0,secondary,1028,166.0
27548979,345117907,0,motorway_link,,
27548981,27549003,0,motorway_link,,
27548981,27548995,0,motorway,,
27548986,27548979,0,motorway,,
27548986,345108665,0,motorway,,
27548995,345104968,0,motorway,,
27549000,27549003,0,motorway_link,,
27549000,27548995,0,motorway,,
27549003,345104792,0,motorway_link,,
27549029,27548981,0,motorway,,
27549036,27549029,0,motorway_link,,
27549041,276553529,0,secondary,,
27549041,276553366,0,secondary,,
27549041,2251380868,0,residential,,
27549074,27549036,0,motorway_link,,
27549074,345105890,0,motorway,,
27721250,258965972,0,secondary,960,162.8
27721250,262173155,0,secondary,957,99.4
27728927,349882502,0,motorway,,
27728971,349870803,0,motorway,970,256.2
27728972,349870175,0,motorway_link,978,185.2
27728972,349869445,0,motorway,978,383.9
27729276,25779213,0,motorway,1252,401.6
27729644,713056951,0,motorway_link,610,313.7
27729644,258019649,0,motorway,700,463.6
27729645,269449377,0,motorway,581,105.5
27729669,269449365,0,motorway_link,609,620.0
27729669,10844876251,0,motorway,609,631.8
27729679,1394107028,0,motorway,609,132.6
27729680,10844876294,0,motorway,609,169.5
27729680,10844876294,1,emergency_bay,609,169.5
27729684,10844876287,0,motorway,580,327.5
27729690,27729684,0,motorway,580,643.4
27729695,10844935061,0,motorway,608,29.0
27729740,27729749,0,motorway,606,153.7
27729749,13203841707,0,motorway_link,888,124.4
27729749,27729777,0,motorway,888,277.7
27729777,13249818895,0,motorway_link,605,237.3
27729777,10844935201,0,motorway,605,83.5
27729926,270856993,0,primary,804,882.8
27729926,269712831,0,primary,804,939.5
28289299,28290277,0,secondary,1269,117.6
28289299,28289310,0,secondary,1269,41.6
28289310,28289874,0,secondary,1269,82.1
28289310,4336249699,0,secondary,1269,47.6
28289318,11060811046,0,secondary,1298,61.6
28289318,740243448,0,secondary,1298,100.2
28289318,27477590,0,secondary,1299,83.5
28289857,28289299,0,secondary,1295,123.4
28289857,27446709,0,secondary,1295,77.5
28289874,28289857,0,secondary,1269,156.9
28289874,28289985,0,secondary,1301,210.5
28289897,740243448,0,secondary,1298,170.6
28289897,28289974,0,secondary,1301,250.9
28289897,28289874,0,secondary,1269,171.5
28289974,262184217,0,secondary,1301,171.7
28289974,27477580,0,secondary,1301,242.5
28289974,28289897,0,secondary,1301,250.9
28289985,262184216,0,secondary,1301,104.4
